poi_id,lat,lng,name,parking,access,capacity_osm
node/1669817019,43.067234,141.3473294,,,,
node/1682560396,43.1065334,141.3394524,三井のリパーク,multi-storey,,351
node/1971133821,43.0942949,141.5106078,北のたまゆら江別店,,,
node/2003840718,43.0657259,141.3496211,三井のリパーク,multi-storey,,225
node/2003844199,43.0659355,141.3469979,タイムズ,multi-storey,,392
node/2003846802,43.0658533,141.3462577,ビックシャイン88,,,600
node/2021939474,43.1255265,141.2423656,,,,
node/2039276545,43.0684556,141.3531534,JRタワーイースト駐車場・JRタワーセンター駐車場,,,
node/2057917874,43.0617522,141.3383774,Times,multi-storey,,78
node/2097530216,43.0593839,141.3514123,タイムズ,multi-storey,,29
node/2110225128,43.0599683,141.3559392,まるいパーキングA,,,
node/2110225129,43.0602641,141.3566499,まるいパーキングB,,,
node/2110225615,43.0598663,141.3564407,松崎ビルパーキング,,,
node/2112415458,43.0992409,141.2692399,湯屋サーモン,,,
node/2180732854,43.0560184,141.3503147,三井のリパーク,multi-storey,,584
node/2203980715,43.0682822,141.3591943,ビックシャイン88,multi-storey,,700
node/2206232349,43.0639498,141.3625563,タイムズ,multi-storey,,967
node/2206240705,43.0659182,141.3634938,タイムズ,multi-storey,,124
node/2303709720,43.0632577,141.337205,,,,
node/2380723567,43.0569426,141.331824,,multi-storey,,
node/2380756914,43.0593482,141.3342152,ビックシャイン88,multi-storey,,600
node/2657080803,43.1629528,141.3113352,,surface,,
node/2657081322,43.1615854,141.3123053,駐車場,,,
node/2696394661,42.9678251,141.2191275,湯元;小金湯,,,
node/2843187902,43.058572,141.344283,,,,
node/3006215033,43.068788,141.493991,,surface,,
node/3023890933,43.069298,141.352504,仕入れ 専用 駐輪場,surface,,
node/3086075156,43.195181,141.00596,,surface,yes,
node/3086075157,43.198532,141.00383,,surface,yes,
node/3259306361,43.065704,141.341415,北5条 パーキング,surface,,
node/3266576261,43.073333,141.298559,Times,surface,,
node/3335853437,43.0519442,141.4855318,森林公園温泉;きよら,,,
node/3383884174,43.0572891,141.3268011,20丁目パーキング,multi-storey,,
node/3390423039,43.0561258,141.3198697,,,,
node/3623395452,43.1526399,141.3986802,札幌あいの里温泉;なごみ,,,
node/3822128814,43.0553688,141.3556417,三井のリパーク,multi-storey,,72
node/3822141765,43.0543563,141.3562718,ススキノ駐車場,,,
node/3823740939,43.0505383,141.3565813,,multi-storey,yes,
node/3836607820,43.0513215,141.3539317,タイムズ,multi-storey,,173
node/3924549058,43.067984,141.274502,お客様 専用 駐車場,surface,,
node/3953029757,43.0617132,141.3474193,タイムズ,underground,,163
node/4283547599,42.9627917,141.1580056,定山渓温泉;湯の花定山渓殿,,,
node/4318976404,42.9750899,141.3361428,屋上駐車場,,,
node/4319047445,42.9867717,141.3350872,屋外駐車場,,,
node/4319062522,42.9992864,141.3360388,屋外駐車場,,,
node/4319105214,42.9933891,141.3357998,,,,
node/4319105230,42.9931931,141.3340105,,surface,customers,
node/4365928842,43.2153053,141.0059068,屋外駐車場,,,
node/4375051968,43.1914612,141.0079221,,rooftop,customers,
node/4457344439,43.0327134,141.3693808,タイムズ,surface,,9
node/4467231260,43.0470422,141.3749085,タイムズ,multi-storey,yes,374
node/4497954365,43.0790715,141.3637506,タイムズ,multi-storey,,58
