park_id,grid_x,grid_y,park_x,park_y,park_lat,park_lng,urban_score,is_city,capacity,type,access
node/1669817019,24,150,24.396238493339123,150.3275098783961,43.067234,141.3473294,2.2887440953646974,1,29,surface,yes
node/1682560396,32,149,32.31970553854472,148.81522215913557,43.1065334,141.3394524,0.38316924804141467,1,351,multi-storey,yes
node/1971133821,29,183,29.41987217704687,182.6369434416348,43.0942949,141.5106078,0.28115430986185025,1,40,surface,yes
node/2003840718,24,151,24.08708009643474,150.7788323769627,43.0657259,141.3496211,3.7294350200776454,1,225,multi-storey,yes
node/2003844199,24,150,24.13595400984857,150.26049155757696,43.0659355,141.3469979,2.2887440953646974,1,392,multi-storey,yes
node/2003846802,24,150,24.121320131814254,150.11406747986172,43.0658533,141.3462577,2.2887440953646974,1,600,surface,yes
node/2021939474,36,130,36.38810382481264,129.6438415375048,43.1255265,141.2423656,0.4914827843474844,1,33,surface,yes
node/2039276545,25,151,24.626982495977657,151.48025256770532,43.0684556,141.3531534,3.1845607289339797,1,37,surface,yes
node/2057917874,23,149,23.316765770982382,148.55152381185835,43.0617522,141.3383774,0.4917276826119895,1,78,multi-storey,yes
node/2097530216,23,151,22.80708594864471,151.125686245173,43.0593839,141.3514123,1.326877095786553,1,29,multi-storey,yes
node/2110225128,23,152,22.91301031243318,152.02127697832466,43.0599683,141.3559392,1.1144881857630178,1,28,surface,yes
node/2110225129,23,152,22.970675681440017,152.1621133304473,43.0602641,141.3566499,1.1144881857630178,1,21,surface,yes
node/2110225615,23,152,22.891212480246917,152.12030192886894,43.0598663,141.3564407,1.1144881857630178,1,29,surface,yes
node/2112415458,31,135,31.03308460217569,134.92657908125804,43.0992409,141.2692399,0.5780397686060671,1,26,surface,yes
node/2180732854,22,151,22.13308202300469,150.90485519588344,43.0560184,141.3503147,1.5479449420273734,1,584,multi-storey,yes
node/2203980715,25,153,24.576630066933664,152.6742798332809,43.0682822,141.3591943,9.392149637547679,1,700,multi-storey,yes
node/2206232349,24,153,23.69674977711445,153.33396195940722,43.0639498,141.3625563,6.487324490110103,1,967,multi-storey,yes
node/2206240705,24,154,24.090201084708863,153.5215460593092,43.0659182,141.3634938,2.58444355695025,1,124,multi-storey,yes
node/2303709720,24,148,23.622532881583652,148.3214727453405,43.0632577,141.337205,0.9835700058142836,1,33,surface,yes
node/2380723567,22,147,22.366328541002574,147.250485225768,43.0569426,141.331824,1.0493180633215058,1,26,multi-storey,yes
node/2380756914,23,148,22.84397729834834,147.72595094870522,43.0593482,141.3342152,0.2889566646732857,1,600,multi-storey,yes
node/2657080803,44,143,43.737948547772376,143.32121644097768,43.1629528,141.3113352,0.302523127262454,1,28,surface,yes
node/2657081322,43,144,43.46047238103538,143.51143266102324,43.1615854,141.3123053,0.4069376241640266,1,29,surface,yes
node/2696394661,5,125,4.733216355956298,124.86966075189687,42.9678251,141.2191275,0.001283928204211256,0,74,surface,yes
node/2843187902,23,150,22.662079477760848,149.7153670713161,43.058572,141.344283,0.5699761119995308,1,36,surface,yes
node/3006215033,24,179,24.332906974464304,179.32281594151922,43.068788,141.493991,0.3537018133386899,1,23,surface,yes
node/3023890933,25,151,24.798057019116687,151.35283549054319,43.069298,141.352504,3.1845607289339797,1,30,surface,yes
node/3086075156,51,83,51.00176103925222,82.9884312498213,43.195181,141.00596,0.3205706002726672,1,23,surface,yes
node/3086075157,52,83,51.681120278481465,82.57118152116021,43.198532,141.00383,1.069769426404607,1,27,surface,yes
node/3259306361,24,149,24.103705572316585,149.15654353570045,43.065704,141.341415,1.8823951978048687,1,40,surface,yes
node/3266576261,26,141,25.74775724119335,140.6930607911229,43.073333,141.298559,0.44197489280881763,1,34,surface,yes
node/3335853437,21,178,20.967223599193755,177.63126557277116,43.0519442,141.4855318,0.5333939564870573,1,28,surface,yes
node/3383884174,22,146,22.448883320285464,146.25790420859852,43.0572891,141.3268011,0.07810560755509002,0,73,multi-storey,yes
node/3390423039,22,145,22.232701620943903,144.88630625908743,43.0561258,141.3198697,0.006436431810993205,0,63,surface,yes
node/3623395452,41,161,41.440141523537115,160.57666156538727,43.1526399,141.3986802,0.03914435487253078,0,113,surface,yes
node/3822128814,22,152,21.988793198645094,151.95720731747275,43.0553688,141.3556417,1.3012842808790708,1,72,multi-storey,yes
node/3822141765,22,152,21.783560283380712,152.08061456610736,43.0543563,141.3562718,1.3012842808790708,1,33,surface,yes
node/3823740939,21,152,21.014950677809807,152.13743592489817,43.0505383,141.3565813,0.6078531796740168,1,26,multi-storey,yes
node/3836607820,21,152,21.179245708187555,151.61453167234478,43.0513215,141.3539317,0.6078531796740168,1,173,multi-storey,yes
node/3924549058,25,136,24.73370055718135,135.93111923525512,43.067984,141.274502,0.09946133241478602,0,72,surface,yes
node/3953029757,23,150,23.285751146106218,150.338972340948,43.0617132,141.3474193,0.5699761119995308,1,163,underground,yes
node/4283547599,4,113,3.8776139261878035,112.7807202643964,42.9627917,141.1580056,0.07424922424478067,0,72,surface,yes
node/4318976404,6,148,5.894325799362004,148.01071714479454,42.9750899,141.3361428,0.1553997097005918,1,23,surface,yes
node/4319047445,8,148,8.246291907185952,147.8153870295342,42.9867717,141.3350872,0.01973747268802339,0,95,surface,yes
node/4319062522,11,148,10.760614013844599,148.01781220164258,42.9992864,141.3360388,0.12204468160731662,0,66,surface,yes
node/4319105214,10,148,9.575253741897836,147.96382411536723,42.9933891,141.3357998,0.03634604032966137,0,96,surface,yes
node/4319105230,10,148,9.54042270183947,147.60987340615011,42.9931931,141.3340105,0.03634604032966137,0,94,surface,customers
node/4365928842,55,83,55.048981886332605,83.0009147336871,43.2153053,141.0059068,0.14089066626385338,1,38,surface,yes
node/4375051968,50,83,50.248664786376274,83.37206731827776,43.1914612,141.0079221,0.8026393864706511,1,30,rooftop,customers
node/4457344439,17,155,17.397484430204614,154.64739638076472,43.0327134,141.3693808,0.23939272038690237,1,9,surface,yes
node/4467231260,20,156,20.264902850425997,155.75654408987955,43.0470422,141.3749085,0.6516783082803138,1,374,multi-storey,yes
node/4497954365,27,154,26.73472899149519,153.58734610042092,43.0790715,141.3637506,1.2983962815919272,1,58,multi-storey,yes
node/4506511893,60,151,60.14958528511646,150.95365441953396,43.2450463,141.3494687,0.026619697362192545,0,78,surface,yes
node/4541071739,29,135,28.863529273385247,135.20602133544395,43.0884715,141.2707157,0.09649301619663331,0,77,surface,yes
node/4588269002,32,155,31.941186489042675,154.97708370724635,43.1050485,141.3706303,0.5548404808611693,1,100,multi-storey,yes
node/4652784976,34,154,33.650743645681345,154.48496608166278,43.113517,141.368092,0.3061312230676039,1,588,multi-storey,customers
node/4927638321,23,150,22.617275567457103,149.6637487967862,43.0583459,141.3440232,0.5699761119995308,1,4,surface,yes
node/5052421570,33,149,32.54020774330183,148.7907737363683,43.1076282,141.3393224,0.9936427470248053,1,180,multi-storey,yes
node/5197654290,19,147,19.039220181390565,146.51616274512622,43.0403523,141.3282054,0.037489888580233485,0,103,surface,yes
node/5317886923,23,151,22.560800627643207,150.7017326042503,43.058132,141.349275,1.326877095786553,1,39,surface,yes
node/5417796410,51,81,51.411059614099905,81.35621523779784,43.1971109,140.9976924,0.6644509685719311,1,40,surface,yes
node/5661791658,24,152,23.618401178497646,151.9898176939326,43.0634736,141.3557598,2.849137849029936,1,314,underground,yes
node/5925065844,22,151,21.604623264605507,151.24136986083184,43.0534125,141.352032,1.5479449420273734,1,38,multi-storey,yes
node/5934535190,12,173,12.397377529368068,172.50964011677675,43.0090033,141.4598727,0.34242811831277964,1,36,surface,yes
node/6308041401,54,84,54.39043655288849,83.57035709472726,43.2120676,141.008806,0.0043662922366930895,0,88,surface,yes
node/6308047565,50,85,49.566939215115674,85.09512239706893,43.1881826,141.016657,0.6565716979967059,1,25,surface,customers
node/6308068557,1,112,1.2511902700907997,112.29885503132384,42.9497016,141.1556438,0.02819698760732161,0,117,surface,yes
node/6308347880,29,182,28.87864537882293,181.76928573628652,43.0915479,141.5062347,0.35709911892128887,1,30,surface,yes
node/6308388123,36,164,35.97798051004717,163.86774718863222,43.1256932,141.4154837,0.34116801475829983,1,22,surface,yes
node/6308538729,27,144,26.512057913371237,144.083984634037,43.0773518,141.3156885,0.6935270385426048,1,36,surface,yes
node/6360006826,29,149,29.225137403804,149.23626227627716,43.0911738,141.341671,0.6157360991414209,1,21,surface,yes
node/6423474460,128,166,128.482459111828,166.00921368001,43.5857798,141.4236562,0.14916180298130483,1,36,surface,yes
node/6425640539,51,39,51.05122438928607,39.44897027963786,43.1926206,140.7857337,0.09724537819291311,0,77,surface,yes
node/6436452401,22,151,22.09481173564733,150.57573640280745,43.0558069,141.3486511,1.5479449420273734,1,32,surface,yes
node/6986903904,16,171,16.36105886896189,171.14400396227708,43.0286234,141.4528513,0.10233832907458897,0,98,surface,yes
node/7214025494,23,145,22.781646658104428,145.0530661087992,43.058866,141.3206974,0.06642918713470648,0,114,multi-storey,yes
node/7918552210,23,156,22.961371417857027,155.87884672698877,43.0604574,141.3754496,0.7927278792438295,1,40,surface,yes
node/8643728123,28,150,27.867688055033167,149.6237787237132,43.0844493,141.3436701,0.07365054519766213,0,10,surface,yes
node/8689739875,10,148,9.630149662494137,147.73960304234916,42.9936476,141.3346641,0.03634604032966137,0,88,surface,customers
node/8948240198,23,152,22.89484541920993,152.42029969322223,43.0599037,141.357958,1.1144881857630178,1,27,surface,yes
node/9407570571,52,82,52.20370362519685,81.86717978356934,43.201085,141.0002541,1.4786785885070457,1,30,surface,yes
node/9420298640,52,82,51.96896657120201,81.79975308241961,43.1999135,140.9999198,1.4786785885070457,1,29,surface,customers
node/9428408027,53,82,52.57287624192656,81.60977088810907,43.202904,140.9989415,0.6097519631522328,1,27,surface,customers
node/9449856012,59,30,59.197660180361545,29.634160839276365,43.2324935,140.7358557,0.021759464520712486,0,78,surface,yes
node/9462598802,22,150,21.96168150588799,149.56801119341418,43.05508,141.3435578,0.8781831816851858,1,130,multi-storey,yes
node/9938493247,25,142,25.128883701150208,141.93808736808643,43.0703361,141.3048742,0.3080475814105396,1,18,multi-storey,yes
node/9946402806,27,142,27.322774639055634,142.09304146873103,43.0812545,141.3055949,0.750572267910251,1,657,multi-storey,yes
node/9948316419,27,142,27.389453096690865,141.74959243185558,43.0815639,141.3038558,0.750572267910251,1,30,surface,yes
node/9948316424,27,142,27.350416463691353,141.8022960856228,43.0813732,141.3041235,0.750572267910251,1,23,surface,yes
node/9949450643,27,143,27.333910830129653,142.77923840782128,43.0813541,141.3090654,0.8808384232303978,1,73,multi-storey,yes
node/9950259192,27,142,26.629977242370988,142.00942919359906,43.0778044,141.3051919,0.750572267910251,1,14,multi-storey,yes
node/9950288507,33,149,32.65480815674441,148.9100280001459,43.1082057,141.3399223,0.9936427470248053,1,326,multi-storey,yes
node/10095286778,24,147,23.862832204315623,147.01342140491784,43.0643682,141.3305819,0.9323114424315987,1,110,multi-storey,yes
node/10188151756,36,137,36.0045123337179,136.97118213536146,43.1240915,141.2794387,0.3920409615920322,1,25,surface,customers
node/10673369415,22,151,21.511307937225602,151.41017347572622,43.0529594,141.3528885,1.5479449420273734,1,26,surface,yes
node/10674905656,21,151,21.14299248531787,151.37494496410724,43.0511258,141.3527209,0.9117309853715069,1,40,surface,yes
node/11134318196,21,158,21.383037338554626,157.7352586539735,43.0527293,141.3848848,0.7157799834310143,1,231,surface,customers
node/11710693440,36,130,36.37502151460115,129.76869669417485,43.1254695,141.2429975,0.4914827843474844,1,31,surface,yes
node/12137220801,51,78,51.38238342438873,78.33524532490671,43.1967736,140.982413,0.04743404076683067,0,88,surface,yes
